City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Manzanillo,CU,88.21,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
243,Coihaique,CL,70.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
246,Mitzic,GA,74.16,few clouds,0.7821,11.549,Motel Emys
248,Rio Gallegos,AR,77.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
251,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
253,Kananga,CD,70.54,light rain,-5.8958,22.4178,Guest House Wood Land
254,Victor Harbor,AU,75.79,broken clouds,-35.5667,138.6167,McCracken Country Club
256,Vaitape,PF,81.12,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
257,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
259,Ararangua,BR,77.18,moderate rain,-28.9347,-49.4858,Hotel Mazzuco
263,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
265,Carauari,BR,73.67,light rain,-4.8828,-66.8958,Hotel Fellip
269,Bubaque,GW,78.64,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
270,Fonte Boa,BR,76.57,overcast clouds,-2.4959,-66.2662,
272,La Asuncion,VE,73.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
276,Namibe,AO,74.03,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
277,Fontem,CM,74.93,scattered clouds,5.4685,9.8818,Vista Palace Hotel
281,Rosarito,MX,71.4,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
282,Kavieng,PG,81.19,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
285,Moron,AR,73.0,broken clouds,-34.6534,-58.6198,Hotel Morón
287,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
289,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
290,Chimore,BO,78.57,overcast clouds,-16.9833,-65.1333,Bichito
291,Manokwari,ID,77.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
293,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
294,Yendi,GH,87.1,clear sky,9.4427,-0.0099,Eyarro Lodge
295,Saldanha,ZA,78.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
297,Capitao Poco,BR,79.5,light rain,-1.7464,-47.0594,Hotel New Tokyo
299,Palu,ID,75.78,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
301,Rio Tercero,AR,73.45,broken clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
303,Kupang,ID,79.05,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
304,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
306,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
311,Kikwit,CD,74.98,light rain,-5.041,18.8162,HOTEL PLACE YALABA
312,Dingle,PH,74.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
315,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Poutur Pousada
317,Rancho Palos Verdes,US,72.75,clear sky,33.7445,-118.387,Terranea Resort
320,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
321,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
325,Makuyuni,TZ,77.09,overcast clouds,-4.7333,38.1,
328,Sechura,PE,83.48,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
330,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
334,Chuy,UY,71.94,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
335,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
339,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
340,Maunabo,PR,80.71,overcast clouds,18.0072,-65.8993,Maunacaribe
341,Tucuman,AR,84.2,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
342,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
344,Edd,ER,77.11,broken clouds,13.9297,41.6925,
350,Port-Gentil,GA,79.79,few clouds,-0.7193,8.7815,Fengshui Residence
352,Ewa Beach,US,77.02,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
354,Kilindoni,TZ,79.66,overcast clouds,-7.9139,39.6668,Bustani B&B
355,Soubre,CI,85.41,scattered clouds,5.7856,-6.6083,Lynd Hotels Soubre
357,Cabiraoan,PH,71.73,overcast clouds,18.3238,122.086,Bry and Kat Resort
358,Pedasi,PA,82.42,overcast clouds,7.5333,-80.0333,Selina Pedasi
