City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Leshukonskoye,RU,64.8989,45.7622,5.02,94,100,8.12,overcast clouds
262,Zapolyarnyy,RU,69.4154,30.8136,16.88,88,100,15.39,overcast clouds
263,Coahuayana,MX,18.7333,-103.6833,89.08,37,9,7.87,clear sky
264,Campbell River,CA,50.0163,-125.2446,44.13,86,100,1.5,overcast clouds
265,Carauari,BR,-4.8828,-66.8958,73.67,93,100,0.92,light rain
266,Bereda,ES,43.2686,-7.5406,46.92,91,4,4.83,clear sky
267,Nishihara,JP,26.1842,127.7558,56.48,58,75,17.27,broken clouds
268,Menongue,AO,-14.6585,17.691,60.13,97,100,4.23,overcast clouds
269,Bubaque,GW,11.2833,-15.8333,78.64,62,0,13.78,clear sky
270,Fonte Boa,BR,-2.4959,-66.2662,76.57,87,100,0.81,overcast clouds
271,Lorica,CO,9.2365,-75.8135,93.18,51,35,7.45,scattered clouds
272,La Asuncion,VE,11.0333,-63.8628,73.13,88,4,12.66,clear sky
273,Quime,BO,-16.9833,-67.2167,56.53,81,100,5.86,overcast clouds
274,Wanning,CN,18.8003,110.3967,65.91,83,97,8.75,overcast clouds
275,Saint-Augustin,CA,51.226,-58.6502,5.31,94,100,16.31,light snow
276,Namibe,AO,-15.1961,12.1522,74.03,69,100,11.56,overcast clouds
277,Fontem,CM,5.4685,9.8818,74.93,46,38,0.98,scattered clouds
278,Quarteira,PT,37.0695,-8.1006,60.57,55,0,8.05,clear sky
279,Port Lincoln,AU,-34.7333,135.8667,66.94,80,100,15.12,overcast clouds
280,Bloomingdale,US,27.8936,-82.2404,65.01,76,100,3.0,overcast clouds
281,Rosarito,MX,32.3333,-117.0333,71.4,23,0,1.28,clear sky
282,Kavieng,PG,-2.5744,150.7967,81.19,78,30,5.19,scattered clouds
283,Kochinda,IN,21.7333,84.35,57.29,31,11,0.67,few clouds
284,Ascension,US,30.2169,-90.9001,51.12,44,0,5.75,clear sky
285,Moron,AR,-34.6534,-58.6198,73.0,61,55,12.88,broken clouds
286,Hervey Bay,AU,-25.2986,152.8535,66.04,61,63,19.37,light rain
287,Geraldton,AU,-28.7667,114.6,73.81,94,100,3.44,overcast clouds
288,Pangody,RU,65.85,74.4859,-17.61,100,100,3.51,overcast clouds
289,Praia,CV,14.9215,-23.5087,75.74,50,0,18.41,clear sky
290,Chimore,BO,-16.9833,-65.1333,78.57,95,100,2.71,overcast clouds
291,Manokwari,ID,-0.8667,134.0833,77.83,77,100,3.91,overcast clouds
292,Larsnes,NO,62.2028,5.5773,38.01,94,100,14.99,overcast clouds
293,Tautira,PF,-17.7333,-149.15,82.42,72,35,18.52,scattered clouds
294,Yendi,GH,9.4427,-0.0099,87.1,13,0,4.45,clear sky
295,Saldanha,ZA,-33.0117,17.9442,78.85,73,0,7.45,clear sky
296,Baiyin,CN,36.5583,104.2081,16.68,92,100,6.24,light snow
297,Capitao Poco,BR,-1.7464,-47.0594,79.5,89,100,6.8,light rain
298,Urengoy,RU,65.9667,78.3667,-14.96,100,92,4.63,overcast clouds
299,Palu,ID,-0.8917,119.8707,75.78,95,100,2.3,overcast clouds
300,Dauphin,CA,51.1494,-100.0502,-2.06,71,100,3.44,overcast clouds
301,Rio Tercero,AR,-32.173,-64.1141,73.45,36,84,19.91,broken clouds
302,North Bend,US,43.4065,-124.2243,51.71,91,75,6.91,broken clouds
303,Kupang,ID,-10.1667,123.5833,79.05,85,70,9.71,broken clouds
304,Port Hedland,AU,-20.3167,118.5667,84.25,84,75,4.61,broken clouds
305,Tarnowskie Gory,PL,50.4455,18.8615,34.21,92,0,3.0,clear sky
306,Salalah,OM,17.0151,54.0924,75.29,73,75,4.61,broken clouds
307,Arethousa,GR,40.7435,23.5898,44.76,78,63,0.78,broken clouds
308,North Platte,US,41.1239,-100.7654,55.29,24,0,8.01,clear sky
309,Tabuk,PH,17.4189,121.4443,68.72,90,98,4.27,overcast clouds
310,Mashhad,IR,36.297,59.6062,41.14,87,40,23.02,scattered clouds
311,Kikwit,CD,-5.041,18.8162,74.98,81,36,1.74,light rain
312,Dingle,PH,10.9995,122.6711,74.71,83,88,11.16,overcast clouds
313,Bilma,NE,18.6853,12.9164,63.46,18,0,4.61,clear sky
314,Tilichiki,RU,60.4667,166.1,-1.21,84,27,7.43,scattered clouds
315,Maceio,BR,-9.6658,-35.7353,85.44,58,0,16.11,clear sky
316,Sioux Lookout,CA,50.1001,-91.917,7.18,72,100,10.36,overcast clouds
317,Rancho Palos Verdes,US,33.7445,-118.387,72.75,22,0,0.0,clear sky
318,Terrace,CA,54.5163,-128.6035,41.43,87,100,16.11,overcast clouds
319,Shenjiamen,CN,29.9576,122.298,39.18,64,15,13.11,few clouds
320,Banjar,ID,-8.19,114.9675,82.26,89,92,2.89,overcast clouds
321,Saint-Joseph,RE,-21.3667,55.6167,80.98,83,100,17.9,light rain
322,Batagay-Alyta,RU,67.8006,130.4114,-25.98,99,94,3.78,overcast clouds
323,Wilkie,CA,52.4168,-108.7014,-0.02,93,100,9.44,light snow
324,Severo-Kurilsk,RU,50.6789,156.125,28.36,94,100,5.46,light snow
325,Makuyuni,TZ,-4.7333,38.1,77.09,67,100,2.66,overcast clouds
326,Nyurba,RU,63.2842,118.3319,-24.79,100,69,3.33,broken clouds
327,Kenai,US,60.5544,-151.2583,27.09,95,100,9.22,overcast clouds
328,Sechura,PE,-5.5569,-80.8222,83.48,53,20,14.2,few clouds
329,Rawson,AR,-43.3002,-65.1023,63.0,44,0,11.16,clear sky
330,Pimentel,PE,-6.8367,-79.9342,80.89,54,0,14.97,clear sky
331,Tromso,NO,69.6496,18.957,32.02,64,75,20.71,broken clouds
332,Tuatapere,NZ,-46.1333,167.6833,51.82,84,100,2.46,overcast clouds
333,Palmer,US,42.1584,-72.3287,25.59,55,20,3.0,few clouds
334,Chuy,UY,-33.6971,-53.4616,71.94,77,90,7.92,overcast clouds
335,Mareeba,AU,-17.0,145.4333,70.52,95,99,1.88,overcast clouds
336,Mount Gambier,AU,-37.8333,140.7667,57.31,79,69,6.64,broken clouds
337,Tura,IN,25.5198,90.2201,49.86,91,1,1.72,clear sky
338,Hofn,IS,64.2539,-15.2082,28.76,55,100,9.98,overcast clouds
339,Bairiki,KI,1.3292,172.9752,82.4,78,40,9.22,scattered clouds
340,Maunabo,PR,18.0072,-65.8993,80.71,82,100,14.23,overcast clouds
341,Tucuman,AR,-26.8241,-65.2226,84.2,51,40,5.75,scattered clouds
342,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,81,38,25.84,scattered clouds
343,Nikolskiy,RU,60.9151,34.0645,18.05,93,100,10.18,snow
344,Edd,ER,13.9297,41.6925,77.11,80,78,19.73,broken clouds
345,Westport,US,41.1415,-73.3579,29.32,62,75,1.01,broken clouds
346,Lishu,CN,43.3047,124.3278,5.34,77,16,6.15,few clouds
