City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,Hobyo,13,SO,2022-02-05 17:17:25,70,5.3505,48.5268,76.89,11.74
278,Kingman,0,US,2022-02-05 17:14:14,21,35.1894,-114.053,45.12,15.99
279,Touros,21,BR,2022-02-05 17:17:26,51,-5.1989,-35.4608,88.7,13.51
280,Copiapo,0,CL,2022-02-05 17:17:26,27,-27.3667,-70.3333,71.29,9.55
281,Harper,74,LR,2022-02-05 17:17:27,68,4.375,-7.7169,82.99,10.04
282,Bam,0,IR,2022-02-05 17:17:27,40,29.106,58.357,64.87,10.13
283,Zhangjiakou,2,CN,2022-02-05 17:17:28,67,40.81,114.8794,13.06,5.75
284,Namatanai,81,PG,2022-02-05 17:17:28,80,-3.6667,152.4333,79.95,8.14
285,San Matias,73,BO,2022-02-05 17:17:29,51,-16.3667,-58.4,91.92,7.29
286,College,75,US,2022-02-05 17:17:29,77,64.8569,-147.8028,1.35,3.44
287,Ushtobe,5,KZ,2022-02-05 17:17:30,83,45.2514,77.9838,17.37,8.77
288,Hit,72,IQ,2022-02-05 17:17:30,48,33.6416,42.8251,55.98,6.4
289,Dombarovskiy,100,RU,2022-02-05 17:17:31,92,50.7587,59.5386,19.63,10.74
290,Visaginas,100,LT,2022-02-05 17:17:31,85,55.6,26.4167,32.86,12.84
291,Sao Joao Da Barra,82,BR,2022-02-05 17:17:32,80,-21.6403,-41.0511,87.89,22.91
292,Ambilobe,98,MG,2022-02-05 17:17:32,93,-13.2,49.05,74.46,7.14
293,Kalininskaya,41,RU,2022-02-05 17:17:33,76,45.4822,38.6628,30.47,5.39
294,Canby,100,US,2022-02-05 17:17:33,92,45.2629,-122.6926,46.02,4.0
295,Cayenne,75,GF,2022-02-05 17:17:33,81,4.9333,-52.3333,86.04,5.99
296,Porto Torres,77,IT,2022-02-05 17:17:34,73,40.835,8.3972,55.58,15.43
297,Cantapoy,50,PH,2022-02-05 17:17:34,86,9.4906,125.4364,76.89,10.16
298,Bathsheba,20,BB,2022-02-05 17:14:04,54,13.2167,-59.5167,83.01,16.11
299,Shache,48,CN,2022-02-05 17:17:35,54,38.4167,77.2406,30.7,6.53
300,Saldanha,10,ZA,2022-02-05 17:17:36,64,-33.0117,17.9442,71.35,10.85
301,Kendari,79,ID,2022-02-05 17:17:36,93,-3.945,122.4989,76.51,4.12
302,Ilinskiy,57,RU,2022-02-05 17:17:37,92,55.619,38.1182,16.38,4.47
303,Mangrol,4,IN,2022-02-05 17:17:37,65,21.1167,70.1167,67.51,6.06
304,Leningradskiy,9,RU,2022-02-05 17:17:38,96,69.3833,178.4167,-21.06,5.01
305,Luau,63,AO,2022-02-05 17:17:38,90,-10.7073,22.2247,66.76,3.62
306,Vredendal,0,ZA,2022-02-05 17:17:39,31,-31.6683,18.5012,85.51,16.75
307,Namibe,30,AO,2022-02-05 17:17:39,63,-15.1961,12.1522,76.08,13.06
308,Tiksi,100,RU,2022-02-05 17:17:40,98,71.6872,128.8694,-22.02,7.56
309,Acaponeta,79,MX,2022-02-05 17:17:40,39,22.4964,-105.3594,72.73,1.9
310,Vanavara,100,RU,2022-02-05 17:17:41,95,60.34,102.2797,15.37,6.04
311,Provideniya,3,RU,2022-02-05 17:15:16,86,64.3833,-173.3,-5.75,11.77
312,Thinadhoo,100,MV,2022-02-05 17:17:41,73,0.5333,72.9333,82.76,13.44
313,Simi,4,SL,2022-02-05 17:17:42,9,9.5667,-12.35,98.69,2.75
314,Rudnichnyy,100,RU,2022-02-05 17:17:42,96,59.617,52.4703,15.78,6.76
315,Wewak,99,PG,2022-02-05 17:17:43,85,-3.5534,143.6268,79.05,11.54
316,Haines Junction,100,CA,2022-02-05 17:17:43,85,60.7522,-137.5108,4.95,4.61
317,Amursk,100,RU,2022-02-05 17:17:44,97,50.2261,136.8994,-2.29,6.76
318,Yerbogachen,100,RU,2022-02-05 17:17:44,95,61.2767,108.0108,11.48,6.17
319,Mildura,100,AU,2022-02-05 17:17:45,38,-34.2,142.15,73.36,9.22
320,Bassano,100,CA,2022-02-05 17:17:45,74,50.7834,-112.4685,36.99,7.9
321,Kikwit,34,CD,2022-02-05 17:17:46,74,-5.041,18.8162,78.67,3.09
322,Faya,7,SA,2022-02-05 17:17:46,75,18.3851,42.4509,57.31,4.68
323,Mombetsu,100,JP,2022-02-05 17:18:47,85,44.3525,143.3525,21.85,12.12
324,Buenos Aires,75,AR,2022-02-05 17:18:47,67,-34.6132,-58.3772,70.99,8.05
325,Flagstaff,0,US,2022-02-05 17:15:31,31,35.1981,-111.6513,38.52,1.01
326,Georgetown,20,MY,2022-02-05 17:18:48,84,5.4112,100.3354,80.89,0.0
327,Komsomolskiy,59,UZ,2022-02-05 17:18:48,44,40.4272,71.7189,44.02,4.61
328,Camana,80,PE,2022-02-05 17:18:49,69,-16.6228,-72.7111,75.09,10.49
329,Farmington,0,US,2022-02-05 17:15:28,58,36.7281,-108.2187,33.21,4.61
330,Beipiao,0,CN,2022-02-05 17:18:50,61,41.7919,120.7792,14.94,9.6
331,Tikhvin,100,RU,2022-02-05 17:18:50,93,59.6451,33.5294,20.21,12.03
332,Hereford,100,GB,2022-02-05 17:18:51,84,52.0568,-2.7148,50.83,3.0
333,Eyl,9,SO,2022-02-05 17:18:51,68,7.9803,49.8164,75.29,11.79
334,Dakar,0,SN,2022-02-05 17:18:52,57,14.6937,-17.4441,90.48,13.8
335,Solosolo,99,WS,2022-02-05 17:18:52,78,-13.875,-171.6418,75.04,15.97
336,Buala,91,SB,2022-02-05 17:18:53,84,-8.145,159.5921,80.78,7.27
337,Ambovombe,100,MG,2022-02-05 17:18:53,90,-25.1667,46.0833,75.04,22.06
338,Mamallapuram,67,IN,2022-02-05 17:15:34,77,12.6264,80.1722,81.05,12.95
339,Margate,89,GB,2022-02-05 17:18:54,74,51.3813,1.3862,49.03,10.0
340,Rieti,0,IT,2022-02-05 17:18:55,71,42.4072,12.8592,53.53,3.44
341,Kysyl-Syr,96,RU,2022-02-05 17:18:55,100,63.8986,122.7617,-26.73,1.23
342,Rocha,87,UY,2022-02-05 17:18:56,74,-34.4833,-54.3333,73.31,9.22
343,Katsuura,51,JP,2022-02-05 17:18:56,39,35.1333,140.3,33.91,4.09
